Species,Fishing.Area,Month,Weight.g,Length.cm,Width.cm,Height.cm,Age.years,Quality.Score,Season.Availability,Cost.TL,Wind.Speed.kmh,Sea.Surface.Temp.C,Active.Fishing.Days,Production.Volume.tonnes,Fishing.Ban.Flag,Price.TL
Lüfer (Bluefish),Black Sea,11,506.11,30.04,3.67,4.6,19,94.67,0.8,54.46,78.47,16.41,10,1433.62,0,280.49
Kalkan (Turbot),Aegean Sea,6,782.71,45.88,5.83,6.31,18,84.19,0.56,70.57,15.73,20.12,27,5000.0,1,194.42
Palamut (Bonito),Black Sea,3,746.82,44.05,5.49,6.39,10,83.92,0.46,58.84,69.13,12.77,10,1084.51,0,265.35
Lüfer (Bluefish),Marmara Sea,7,601.9,33.3,5.03,4.68,4,96.58,0.54,59.27,46.12,14.45,18,1320.75,0,354.14
Levrek (Sea Bass),Aegean Sea,1,416.63,23.48,4.67,2.6,7,88.04,0.34,57.83,8.17,12.61,26,5000.0,0,198.71
Kalkan (Turbot),Marmara Sea,1,738.1,42.92,6.02,6.1,7,90.87,0.32,59.45,34.7,16.08,18,3743.25,0,277.84
Palamut (Bonito),Aegean Sea,1,679.07,39.81,4.18,5.31,14,95.28,0.59,53.12,16.89,14.65,28,5000.0,0,240.58
Çipura (Sea Bream),Black Sea,5,465.67,26.75,4.0,4.49,16,95.78,0.47,56.55,43.82,21.15,15,1183.58,0,198.34
Kalkan (Turbot),Marmara Sea,8,708.47,41.55,5.7,5.52,14,90.15,0.5,71.25,49.41,21.74,14,2280.99,0,264.85
Çipura (Sea Bream),Black Sea,10,473.43,28.91,3.74,3.43,12,72.09,0.57,52.37,17.08,16.33,22,2021.15,0,245.66
Kalkan (Turbot),Mediterranean Sea,4,678.02,38.79,5.57,5.27,9,87.19,0.32,51.15,65.32,20.82,10,1553.33,0,247.85
Kalkan (Turbot),Marmara Sea,1,788.05,42.99,5.96,5.93,11,86.49,0.41,63.72,68.13,22.5,10,1129.15,0,267.87
Hamsi (Anchovy),Aegean Sea,2,146.86,12.35,1.57,1.63,19,78.35,0.96,28.94,5.66,24.94,26,5000.0,0,261.73
İstavrit (Horse Mackerel),Mediterranean Sea,3,282.76,17.25,2.74,1.25,9,89.16,0.31,37.16,30.2,26.7,18,2483.88,0,180.0
Kalkan (Turbot),Black Sea,1,780.37,43.12,6.46,6.23,9,100.0,0.45,64.51,77.41,13.28,10,825.9,0,273.08
İstavrit (Horse Mackerel),Marmara Sea,5,292.95,19.46,2.12,2.62,4,100.0,0.63,51.91,29.14,13.69,25,4119.22,0,308.72
İstavrit (Horse Mackerel),Aegean Sea,5,290.84,18.65,2.33,2.22,1,85.62,0.66,34.1,11.45,19.69,26,3170.28,0,324.2
Kalkan (Turbot),Aegean Sea,5,712.52,41.04,5.78,4.72,11,92.36,0.37,51.12,53.83,15.7,12,2290.26,1,285.45
Kalkan (Turbot),Aegean Sea,10,687.65,38.3,4.88,5.36,3,100.0,0.4,60.35,65.82,19.07,10,1856.78,0,316.54
İstavrit (Horse Mackerel),Black Sea,7,270.05,15.24,1.91,2.11,15,79.85,0.53,31.64,78.0,14.52,10,683.82,0,180.0
Palamut (Bonito),Aegean Sea,9,727.7,41.5,5.75,5.85,4,100.0,0.49,63.49,34.39,12.52,20,3714.38,0,319.27
Hamsi (Anchovy),Marmara Sea,2,148.59,9.07,1.04,1.55,12,78.8,0.98,44.22,22.64,15.02,24,5000.0,0,295.71
Kalkan (Turbot),Aegean Sea,11,741.67,40.66,6.11,4.92,5,93.13,0.48,66.27,41.77,20.59,19,1379.67,0,291.28
Levrek (Sea Bass),Aegean Sea,9,439.45,24.1,3.44,3.26,2,100.0,0.6,47.57,7.36,12.36,27,3216.21,0,335.94
Kalkan (Turbot),Mediterranean Sea,9,648.76,36.98,5.1,4.77,2,91.43,0.41,56.73,79.52,24.73,10,1285.6,0,265.45
Levrek (Sea Bass),Marmara Sea,3,692.95,38.88,5.31,4.5,5,100.0,0.32,60.22,10.34,15.85,24,4267.6,0,269.89
Çipura (Sea Bream),Marmara Sea,10,493.22,27.89,4.64,4.5,9,86.02,0.51,56.72,68.49,24.37,10,1254.09,0,279.19
Palamut (Bonito),Aegean Sea,10,748.65,43.58,5.73,6.03,15,78.68,0.41,58.0,26.18,21.1,21,2354.01,0,194.08
İstavrit (Horse Mackerel),Aegean Sea,5,222.47,12.96,2.02,2.4,1,100.0,0.52,29.35,55.71,21.82,15,1763.5,0,292.47
Hamsi (Anchovy),Mediterranean Sea,5,168.79,10.14,2.09,0.91,12,75.53,0.66,39.33,12.56,19.78,28,5000.0,1,195.56
İstavrit (Horse Mackerel),Black Sea,9,388.61,21.72,3.26,2.88,7,100.0,0.68,55.94,31.0,18.57,21,4081.46,0,334.41
Hamsi (Anchovy),Marmara Sea,10,149.68,5.92,1.09,0.97,2,96.77,0.7,39.22,7.69,18.66,27,4251.21,0,304.86
Levrek (Sea Bass),Aegean Sea,8,468.02,27.32,3.99,3.78,9,100.0,0.69,61.17,34.33,12.79,24,4590.49,0,312.08
Lüfer (Bluefish),Marmara Sea,9,669.62,39.87,5.22,4.46,12,88.46,0.83,71.31,77.62,22.05,10,1866.95,0,375.58
Çipura (Sea Bream),Marmara Sea,6,499.87,30.11,4.01,4.26,2,90.26,0.87,51.48,14.08,21.76,26,3052.7,0,427.11
Palamut (Bonito),Aegean Sea,5,564.05,33.86,4.2,4.51,15,85.66,0.56,51.25,28.16,12.41,20,4055.79,0,253.39
İstavrit (Horse Mackerel),Black Sea,4,316.54,19.44,2.52,2.38,6,88.9,0.38,44.98,17.64,20.58,23,1745.1,0,212.81
Levrek (Sea Bass),Black Sea,2,505.4,29.54,3.83,3.42,12,94.5,0.4,60.43,37.05,21.41,19,2890.58,0,180.0
Levrek (Sea Bass),Mediterranean Sea,3,425.48,24.22,2.89,3.55,19,98.06,0.35,59.61,76.82,21.1,10,1786.53,0,180.0
Kalkan (Turbot),Mediterranean Sea,5,766.48,42.25,5.97,5.85,7,89.6,0.63,60.26,13.79,25.09,26,4407.57,0,328.44
Lüfer (Bluefish),Mediterranean Sea,6,651.26,36.51,5.31,4.7,11,95.87,0.73,70.82,63.22,16.24,14,1248.07,1,341.52
Çipura (Sea Bream),Mediterranean Sea,12,475.11,31.1,3.35,3.73,16,100.0,0.73,48.39,37.73,25.9,18,3848.59,0,241.95
İstavrit (Horse Mackerel),Aegean Sea,5,224.8,13.46,1.75,2.39,10,100.0,0.72,46.16,27.02,14.79,16,2804.89,0,311.31
Levrek (Sea Bass),Aegean Sea,10,619.19,37.21,4.67,4.65,13,100.0,0.34,56.69,53.96,12.82,16,1510.9,0,210.24
İstavrit (Horse Mackerel),Aegean Sea,1,367.98,22.63,3.12,2.8,10,98.51,0.68,38.56,35.27,20.11,17,2941.22,0,251.86
Palamut (Bonito),Mediterranean Sea,5,752.85,42.59,5.88,5.84,19,87.64,0.61,58.47,53.04,17.23,12,1460.46,0,288.11
Hamsi (Anchovy),Mediterranean Sea,2,148.69,11.65,1.24,1.21,5,96.67,0.81,46.62,74.07,25.18,10,1075.64,0,366.93
Levrek (Sea Bass),Black Sea,3,693.41,41.89,4.59,5.94,12,85.33,0.65,67.39,79.18,21.34,10,1549.65,0,285.52
Lüfer (Bluefish),Black Sea,2,526.91,31.3,4.48,4.84,5,100.0,0.52,42.2,49.89,17.14,12,1593.25,0,314.8
Palamut (Bonito),Mediterranean Sea,8,594.19,34.99,4.55,4.01,10,88.22,0.73,52.67,44.15,25.24,18,3454.61,0,311.32
Hamsi (Anchovy),Mediterranean Sea,12,130.22,4.97,0.94,1.37,10,100.0,0.98,33.65,59.53,25.15,16,1551.63,0,387.4
Lüfer (Bluefish),Mediterranean Sea,5,556.21,32.17,3.98,4.14,18,96.01,0.37,51.29,15.06,21.71,24,3425.77,0,180.0
Lüfer (Bluefish),Aegean Sea,9,518.78,31.81,4.06,4.05,18,95.33,0.88,51.4,71.14,21.7,10,779.71,0,348.88
Çipura (Sea Bream),Black Sea,2,555.78,33.02,3.71,4.27,14,93.38,0.33,57.44,11.77,8.17,25,2250.76,0,191.5
Hamsi (Anchovy),Mediterranean Sea,12,145.84,9.57,1.19,1.32,5,88.61,0.96,31.07,49.3,20.66,13,1682.68,0,412.37
Levrek (Sea Bass),Marmara Sea,7,589.04,32.19,4.94,4.29,17,82.68,0.49,57.6,39.1,19.31,17,2080.55,0,233.73
Kalkan (Turbot),Aegean Sea,2,702.22,38.96,5.93,6.01,9,100.0,0.33,55.31,79.38,18.31,10,1149.61,0,267.05
Lüfer (Bluefish),Mediterranean Sea,7,610.93,33.23,4.75,4.95,1,90.55,0.54,64.37,14.55,24.16,26,4082.37,0,322.89
Lüfer (Bluefish),Mediterranean Sea,5,605.44,35.75,5.03,4.81,14,94.61,0.68,65.94,18.47,27.1,24,2546.4,1,326.95
Kalkan (Turbot),Aegean Sea,5,615.51,34.82,5.23,4.31,15,93.6,0.33,61.87,61.0,24.8,10,1159.11,0,180.0
İstavrit (Horse Mackerel),Aegean Sea,4,264.88,14.0,2.29,1.43,17,88.23,0.55,37.24,31.4,21.94,21,1767.29,0,200.4
İstavrit (Horse Mackerel),Mediterranean Sea,1,311.65,17.63,2.07,2.79,17,79.51,0.34,43.44,79.06,27.31,10,1322.44,0,180.0
Lüfer (Bluefish),Marmara Sea,2,511.75,29.62,4.88,4.02,2,99.73,0.31,52.85,42.39,18.86,17,1287.4,0,302.06
Levrek (Sea Bass),Mediterranean Sea,2,674.23,38.4,4.86,5.18,19,84.42,0.44,64.36,39.68,27.55,18,3654.0,0,180.0
Kalkan (Turbot),Aegean Sea,5,723.2,43.72,5.88,5.68,12,88.44,0.46,51.72,60.75,15.75,10,1684.08,0,276.55
Hamsi (Anchovy),Black Sea,4,172.89,10.13,1.83,1.67,16,87.94,0.74,34.53,35.43,20.95,21,4256.02,0,209.97
Palamut (Bonito),Black Sea,10,588.32,35.85,5.32,4.92,12,71.65,0.61,64.51,35.71,13.22,17,2165.66,0,292.0
Çipura (Sea Bream),Black Sea,11,427.05,24.95,3.62,3.05,3,89.68,0.3,41.9,6.6,12.35,28,5000.0,0,226.26
İstavrit (Horse Mackerel),Mediterranean Sea,6,268.71,18.13,2.53,2.6,19,78.22,0.53,42.68,49.28,18.02,13,1843.36,0,180.0
Palamut (Bonito),Marmara Sea,10,579.59,33.98,4.81,4.22,7,95.03,0.32,54.65,47.46,16.55,17,3549.18,0,221.77
Lüfer (Bluefish),Black Sea,5,484.29,25.29,3.24,3.11,15,97.14,0.4,55.37,6.55,18.18,27,5000.0,0,180.0
Kalkan (Turbot),Mediterranean Sea,4,624.97,37.53,4.79,5.3,4,87.02,0.62,64.21,43.65,17.55,14,2570.32,0,398.25
İstavrit (Horse Mackerel),Black Sea,10,231.35,13.57,2.14,1.3,8,87.94,0.47,27.07,26.66,21.17,24,1915.31,0,247.85
Palamut (Bonito),Marmara Sea,10,556.7,34.33,4.72,4.25,1,96.69,0.5,67.01,66.61,19.26,10,1754.29,0,287.29
Lüfer (Bluefish),Black Sea,9,614.01,33.83,4.99,4.76,10,93.77,0.83,49.66,66.87,17.72,10,1741.38,0,405.15
Çipura (Sea Bream),Marmara Sea,1,530.68,31.01,4.29,3.77,14,84.54,0.52,41.69,25.03,17.76,21,1892.27,0,267.84
Palamut (Bonito),Black Sea,5,712.16,40.41,6.16,5.11,4,95.18,0.54,72.28,48.48,10.92,16,2575.63,1,381.1
Çipura (Sea Bream),Black Sea,2,408.18,22.88,2.9,3.78,3,100.0,0.34,59.11,69.29,10.33,10,1721.23,0,247.51
Çipura (Sea Bream),Marmara Sea,10,529.67,30.91,4.09,4.14,4,100.0,0.52,47.7,73.44,17.79,10,640.92,0,316.26
Palamut (Bonito),Black Sea,6,734.54,40.87,5.46,5.16,17,85.86,0.6,61.73,22.52,14.07,23,4730.59,0,242.99
Kalkan (Turbot),Black Sea,4,691.35,38.21,5.6,5.23,18,84.69,0.46,71.62,20.59,8.37,22,3149.55,0,186.93
Palamut (Bonito),Black Sea,7,687.32,35.71,5.75,4.79,2,93.4,0.62,56.52,75.23,14.87,10,1506.76,0,332.28
Çipura (Sea Bream),Marmara Sea,2,412.2,22.35,3.07,3.83,17,82.96,0.67,43.32,69.06,16.36,10,1804.8,0,253.81
Çipura (Sea Bream),Marmara Sea,5,447.37,25.55,3.95,3.03,4,94.72,0.51,52.03,28.83,21.79,19,3388.35,0,302.9
Çipura (Sea Bream),Aegean Sea,1,550.32,32.46,4.72,4.6,11,81.7,0.44,63.72,58.77,17.27,10,973.02,0,264.54
Kalkan (Turbot),Marmara Sea,7,695.02,43.62,4.56,5.38,13,95.4,0.75,57.59,39.71,14.05,18,3653.07,0,265.24
Çipura (Sea Bream),Marmara Sea,12,423.34,25.56,3.28,3.45,11,95.66,0.59,44.45,49.07,22.56,16,3278.7,0,270.3
Lüfer (Bluefish),Black Sea,4,671.58,38.98,5.43,5.61,14,89.79,0.44,54.19,17.65,16.16,25,2056.19,0,247.5
Hamsi (Anchovy),Marmara Sea,7,129.03,9.66,0.74,0.89,17,80.41,0.56,24.98,69.83,19.9,10,927.5,0,225.38
İstavrit (Horse Mackerel),Mediterranean Sea,3,242.18,14.03,2.18,2.16,19,76.83,0.47,43.53,53.19,20.91,18,1557.47,0,180.0
Kalkan (Turbot),Black Sea,5,796.44,45.78,5.83,5.97,11,98.22,0.75,77.89,18.04,10.01,22,3390.94,0,332.49
Levrek (Sea Bass),Marmara Sea,8,537.2,30.39,3.86,4.06,13,83.05,0.66,57.51,74.77,20.34,10,1585.09,0,286.67
Kalkan (Turbot),Marmara Sea,11,696.19,39.21,4.89,5.37,13,93.1,0.49,53.76,20.18,16.23,19,3205.39,0,197.74
Palamut (Bonito),Black Sea,2,511.62,26.53,4.31,4.07,4,99.85,0.39,42.87,42.29,8.14,20,2655.18,0,245.44
Çipura (Sea Bream),Aegean Sea,5,368.48,18.49,2.99,2.27,5,88.71,0.71,57.03,23.15,13.33,22,2658.28,0,373.21
Palamut (Bonito),Aegean Sea,3,783.42,40.64,5.68,5.58,2,100.0,0.71,78.29,51.56,23.33,12,1483.27,0,421.49
Levrek (Sea Bass),Marmara Sea,9,570.62,34.08,4.92,4.27,16,83.6,0.35,52.5,31.26,20.15,19,3891.13,0,216.0
Lüfer (Bluefish),Mediterranean Sea,8,506.34,32.72,3.95,5.03,7,86.49,0.54,62.93,43.9,19.14,18,1791.12,0,296.28
Çipura (Sea Bream),Aegean Sea,5,450.86,28.35,3.67,3.8,18,84.36,0.46,47.9,5.9,24.29,28,4105.77,0,180.0
Kalkan (Turbot),Aegean Sea,7,757.72,43.66,5.66,5.97,17,96.91,0.74,53.66,8.69,20.23,28,3075.95,0,308.64
İstavrit (Horse Mackerel),Mediterranean Sea,2,387.89,24.54,3.74,3.33,7,83.61,0.65,35.33,74.26,25.85,10,1868.69,0,299.63
Palamut (Bonito),Aegean Sea,11,605.28,33.13,4.69,4.73,10,86.61,0.35,60.83,42.99,16.78,15,2569.21,0,259.61
Levrek (Sea Bass),Marmara Sea,8,611.01,35.43,4.76,5.31,10,78.45,0.46,46.03,58.91,12.09,12,1600.32,0,241.35
İstavrit (Horse Mackerel),Aegean Sea,1,391.97,24.46,3.39,2.79,7,95.6,0.4,38.53,18.51,19.78,25,3688.72,0,209.16
Palamut (Bonito),Black Sea,4,597.76,38.17,4.9,4.91,15,80.87,0.69,64.06,6.38,13.73,28,2729.57,0,284.39
Palamut (Bonito),Black Sea,6,522.21,30.14,4.05,3.62,6,99.52,0.48,41.2,20.76,19.24,24,3011.51,0,292.89
İstavrit (Horse Mackerel),Mediterranean Sea,11,395.53,21.74,3.34,2.81,9,86.91,0.38,38.81,11.49,17.78,25,5000.0,0,193.49
Palamut (Bonito),Mediterranean Sea,1,592.16,32.88,4.16,4.37,5,86.74,0.42,63.23,42.6,16.19,17,2272.58,0,242.23
Levrek (Sea Bass),Black Sea,12,626.37,32.6,5.29,4.97,12,91.87,0.37,67.33,76.25,20.52,10,1077.39,0,206.91
Hamsi (Anchovy),Marmara Sea,7,177.91,11.97,1.45,1.83,10,85.16,0.54,25.64,49.86,22.61,16,1223.47,0,252.48
İstavrit (Horse Mackerel),Mediterranean Sea,6,282.5,16.03,2.3,2.66,3,96.37,0.73,29.24,60.13,27.31,14,1498.68,0,411.53
Kalkan (Turbot),Aegean Sea,5,783.39,44.63,5.66,6.18,8,100.0,0.33,76.23,12.13,23.96,23,3036.78,0,254.64
Levrek (Sea Bass),Mediterranean Sea,9,625.46,37.15,5.19,4.66,18,100.0,0.36,64.23,37.99,20.83,19,2828.32,0,180.0
Levrek (Sea Bass),Aegean Sea,3,550.21,33.98,4.61,4.15,11,87.9,0.36,59.2,65.05,19.3,10,1826.75,0,232.05
Kalkan (Turbot),Marmara Sea,7,721.74,44.97,5.41,5.23,19,99.85,0.59,55.58,46.33,13.5,16,1395.85,0,222.19
Hamsi (Anchovy),Marmara Sea,6,179.82,9.99,2.17,1.59,3,100.0,0.63,33.98,20.74,21.79,25,5000.0,0,241.68
Palamut (Bonito),Aegean Sea,4,505.93,30.58,3.79,3.84,18,97.8,0.39,63.59,10.37,21.99,25,2120.5,0,185.56
Kalkan (Turbot),Aegean Sea,8,777.93,44.43,6.04,5.76,11,93.26,0.32,74.58,68.7,15.83,10,1824.79,0,234.61
Lüfer (Bluefish),Aegean Sea,9,571.57,29.4,4.57,4.81,19,89.78,0.98,57.21,64.67,18.38,11,1753.12,0,382.23
Lüfer (Bluefish),Aegean Sea,11,491.46,29.72,4.15,4.46,6,86.67,0.97,64.38,40.22,23.68,22,4808.06,0,402.74
Kalkan (Turbot),Aegean Sea,6,779.27,45.03,6.33,6.25,9,100.0,0.36,58.6,17.51,15.12,24,2258.45,1,328.36
Çipura (Sea Bream),Black Sea,8,490.06,31.62,3.92,3.73,7,99.01,0.81,45.48,73.44,18.12,10,1005.17,0,373.69
İstavrit (Horse Mackerel),Mediterranean Sea,6,336.79,21.65,3.19,1.87,7,100.0,0.4,56.84,61.35,20.11,11,756.66,0,265.37
Lüfer (Bluefish),Aegean Sea,9,532.13,33.57,3.68,3.76,5,96.15,0.9,65.41,74.72,18.59,10,998.72,0,435.71
Hamsi (Anchovy),Black Sea,2,131.54,9.08,0.82,0.69,16,88.71,0.82,45.98,15.71,11.85,25,2694.44,0,238.41
Kalkan (Turbot),Aegean Sea,4,681.62,37.53,5.44,4.75,12,87.95,0.56,56.08,38.58,18.51,19,1560.48,0,304.46
Levrek (Sea Bass),Black Sea,6,523.56,30.3,4.76,4.39,8,86.96,0.4,64.95,57.02,17.86,15,2824.21,0,228.45
Lüfer (Bluefish),Mediterranean Sea,4,670.43,40.15,5.74,4.3,1,100.0,0.56,70.94,74.07,20.65,10,1391.61,0,377.39
Palamut (Bonito),Mediterranean Sea,10,567.1,31.73,3.87,4.37,11,100.0,0.4,59.13,72.17,17.5,10,1454.53,0,247.66
Lüfer (Bluefish),Mediterranean Sea,11,627.62,34.46,4.8,4.61,12,91.56,0.89,54.95,12.5,18.47,23,2992.35,0,344.93
Çipura (Sea Bream),Mediterranean Sea,5,500.69,29.34,4.02,4.17,13,82.51,0.49,59.97,30.17,17.21,22,3587.39,0,191.46
Levrek (Sea Bass),Mediterranean Sea,8,573.68,35.24,4.45,4.31,6,90.12,0.7,64.36,68.04,22.35,10,1501.11,0,385.6
İstavrit (Horse Mackerel),Black Sea,10,374.74,22.57,3.39,2.84,1,96.96,0.62,58.7,57.96,20.18,11,1325.92,0,381.84
Lüfer (Bluefish),Mediterranean Sea,11,615.29,34.4,4.58,4.29,3,97.75,0.81,64.17,74.17,25.19,10,1756.55,0,467.8
Palamut (Bonito),Aegean Sea,11,695.37,38.94,5.05,5.73,7,96.08,0.49,65.85,77.43,24.99,10,1529.27,0,321.17
Levrek (Sea Bass),Black Sea,11,587.71,34.21,3.96,4.52,15,97.38,0.65,55.29,22.4,18.9,25,2379.68,0,294.62
Çipura (Sea Bream),Aegean Sea,7,437.3,25.31,2.65,3.11,7,94.88,0.83,44.65,62.96,15.22,11,939.48,1,392.87
Çipura (Sea Bream),Marmara Sea,10,593.67,32.19,4.73,4.61,13,67.35,0.36,47.9,23.86,22.2,24,4423.63,0,180.0
Levrek (Sea Bass),Black Sea,9,463.77,25.73,3.91,3.61,4,100.0,0.72,49.31,73.69,10.6,10,1463.15,0,397.76
Palamut (Bonito),Black Sea,5,623.39,36.0,4.45,4.48,18,89.25,0.61,52.95,55.13,19.7,14,2386.52,0,245.67
İstavrit (Horse Mackerel),Black Sea,11,338.29,19.72,3.05,2.98,11,98.59,0.34,44.0,6.37,13.54,28,3460.55,0,180.0
Palamut (Bonito),Marmara Sea,2,688.17,37.84,5.69,5.94,4,95.97,0.31,68.67,44.08,19.78,16,1219.6,0,326.4
Lüfer (Bluefish),Marmara Sea,4,610.98,31.97,4.85,4.57,9,91.22,0.4,54.82,67.54,20.42,13,1712.2,0,259.21
Kalkan (Turbot),Black Sea,6,796.13,46.61,5.98,6.16,2,100.0,0.33,58.41,37.95,10.1,22,3806.03,0,291.42
Levrek (Sea Bass),Mediterranean Sea,11,577.68,34.58,4.15,4.26,9,100.0,0.73,52.53,35.73,19.27,20,2674.76,0,359.03
Lüfer (Bluefish),Black Sea,1,609.81,34.83,5.78,4.32,1,100.0,0.74,49.72,22.23,10.07,20,1948.46,0,413.87
Palamut (Bonito),Black Sea,4,535.7,30.26,3.91,3.89,13,85.63,0.47,66.74,66.43,16.54,10,733.23,0,208.64
İstavrit (Horse Mackerel),Mediterranean Sea,9,225.73,11.93,2.69,2.05,19,91.06,0.52,28.89,57.16,19.34,15,2095.63,0,180.0
Palamut (Bonito),Aegean Sea,6,713.93,40.38,5.73,5.94,3,95.94,0.53,54.46,72.05,23.73,10,1389.72,0,332.23
Palamut (Bonito),Black Sea,2,639.31,35.19,4.32,4.99,18,74.35,0.46,63.47,14.36,12.51,25,4497.2,0,202.67
Çipura (Sea Bream),Marmara Sea,4,352.36,20.63,3.17,2.75,10,100.0,0.35,56.81,23.67,18.09,24,3542.75,0,191.07
Palamut (Bonito),Mediterranean Sea,1,704.18,37.79,5.15,5.1,12,94.46,0.4,51.41,73.65,26.82,10,1071.26,0,265.09
Kalkan (Turbot),Marmara Sea,10,688.89,40.04,4.54,5.21,8,96.04,0.32,62.68,73.19,12.21,10,1379.64,0,274.65
Lüfer (Bluefish),Aegean Sea,9,587.92,34.21,4.61,4.88,2,97.97,0.94,69.07,12.07,17.47,23,3433.6,0,428.74
Çipura (Sea Bream),Aegean Sea,4,596.73,36.36,4.74,4.93,9,94.59,0.39,64.12,23.51,19.18,21,3827.86,0,259.03
Kalkan (Turbot),Marmara Sea,8,623.38,35.64,4.91,4.02,18,93.29,0.74,60.53,78.28,23.6,10,1511.54,0,278.37
Levrek (Sea Bass),Black Sea,5,512.4,30.9,4.08,4.25,16,97.63,0.55,50.46,62.17,15.42,12,2188.68,0,267.56
Kalkan (Turbot),Marmara Sea,5,649.46,38.53,4.39,4.88,19,82.71,0.5,47.58,45.95,21.48,21,3443.86,0,180.0
Çipura (Sea Bream),Aegean Sea,4,450.08,26.2,3.13,3.9,14,100.0,0.32,61.59,72.75,17.32,10,1896.23,0,201.85
Çipura (Sea Bream),Black Sea,4,382.45,25.24,3.66,2.84,2,100.0,0.46,45.53,18.8,20.5,23,2109.92,0,285.91
Çipura (Sea Bream),Aegean Sea,7,479.19,28.86,4.21,4.95,6,93.1,0.94,54.62,48.08,15.56,14,1155.43,0,481.56
Lüfer (Bluefish),Marmara Sea,2,669.01,36.79,5.39,5.93,13,82.5,0.62,52.44,58.53,21.12,15,2376.27,0,284.21
Levrek (Sea Bass),Mediterranean Sea,6,510.85,29.99,4.03,4.01,9,94.03,0.37,62.98,72.47,20.53,10,1295.78,0,227.8
Kalkan (Turbot),Marmara Sea,10,762.94,42.36,6.38,6.17,14,86.45,0.71,60.46,38.35,17.64,15,3020.78,0,274.9
Çipura (Sea Bream),Mediterranean Sea,4,577.71,31.52,4.14,4.62,2,98.04,0.58,47.56,60.46,19.04,13,2440.3,0,344.11
Kalkan (Turbot),Aegean Sea,10,689.7,38.54,5.09,5.19,17,100.0,0.59,73.88,48.41,23.72,15,2757.31,0,237.23
Lüfer (Bluefish),Aegean Sea,6,594.36,34.64,4.28,4.13,10,90.7,0.48,68.97,65.43,24.61,10,1427.57,0,284.56
Çipura (Sea Bream),Mediterranean Sea,3,592.69,33.29,5.43,4.3,16,86.82,0.54,57.94,69.7,27.75,10,1248.86,0,209.69
Lüfer (Bluefish),Mediterranean Sea,12,636.48,35.15,5.42,3.94,4,100.0,0.41,52.71,45.5,20.89,16,2765.01,0,251.05
Çipura (Sea Bream),Black Sea,3,444.37,24.7,3.79,3.11,3,92.18,0.68,46.72,27.58,12.02,23,4952.73,0,317.68
İstavrit (Horse Mackerel),Marmara Sea,6,391.0,21.38,3.04,3.31,4,100.0,0.62,39.77,73.14,15.67,10,853.24,0,377.79
Palamut (Bonito),Black Sea,2,720.45,43.73,6.26,5.02,14,96.72,0.39,62.16,5.99,12.71,27,2213.38,0,251.39
Lüfer (Bluefish),Aegean Sea,11,682.28,40.09,4.91,4.73,16,86.29,0.99,55.07,48.66,19.57,12,1726.26,0,387.08
İstavrit (Horse Mackerel),Aegean Sea,9,389.14,22.31,3.05,2.78,11,83.48,0.6,52.42,51.23,20.91,13,1939.44,0,239.15
Çipura (Sea Bream),Marmara Sea,7,491.7,28.46,3.64,4.71,16,89.95,0.97,62.83,69.78,14.65,10,1200.19,0,391.73
Kalkan (Turbot),Black Sea,12,618.14,38.75,4.95,4.28,17,96.18,0.5,59.44,77.85,21.5,10,1700.28,0,252.79
Kalkan (Turbot),Black Sea,11,717.03,43.32,5.4,5.23,12,94.54,0.7,60.29,67.58,8.9,10,1807.18,0,341.11
Hamsi (Anchovy),Marmara Sea,4,119.16,6.68,1.52,1.24,11,100.0,0.7,29.64,79.42,13.03,10,1023.58,0,241.68
Palamut (Bonito),Marmara Sea,10,671.61,37.08,4.8,5.94,8,82.64,0.71,59.02,71.23,19.25,10,1738.76,0,358.73
Lüfer (Bluefish),Marmara Sea,7,501.19,28.26,3.83,4.26,14,93.53,0.53,63.06,12.52,13.31,28,2291.77,1,249.61
Çipura (Sea Bream),Marmara Sea,7,565.03,33.83,4.27,4.41,16,97.09,0.86,51.92,18.34,16.7,25,3128.63,0,325.25
Lüfer (Bluefish),Aegean Sea,12,664.95,39.7,5.3,5.64,15,88.47,0.58,59.12,22.65,15.63,25,3310.29,0,271.01
Palamut (Bonito),Black Sea,3,661.16,39.46,5.2,4.92,8,100.0,0.55,55.47,42.18,14.18,16,3059.89,0,259.79
Palamut (Bonito),Marmara Sea,2,799.36,46.1,5.7,6.68,6,100.0,0.33,79.54,71.35,14.4,10,758.24,0,321.47
Kalkan (Turbot),Black Sea,5,750.99,42.4,6.06,6.01,10,100.0,0.74,56.08,22.19,18.52,22,2069.65,0,381.31
Çipura (Sea Bream),Aegean Sea,4,366.05,25.62,2.79,3.07,19,79.71,0.52,47.79,36.25,24.22,17,1405.04,0,200.25
Palamut (Bonito),Black Sea,12,634.86,36.07,5.34,4.65,8,88.52,0.69,71.18,64.43,18.7,12,1386.75,0,302.08
Palamut (Bonito),Mediterranean Sea,7,543.57,28.58,4.69,4.19,3,100.0,0.74,60.49,35.73,17.06,19,2956.55,0,373.61
Hamsi (Anchovy),Marmara Sea,7,149.81,11.03,1.46,1.55,18,87.57,0.38,41.14,5.2,17.21,26,5000.0,0,180.0
Kalkan (Turbot),Marmara Sea,1,713.18,42.09,6.33,5.52,14,96.47,0.4,59.21,32.88,24.56,20,2720.18,0,209.53
